site_name,addr,city,zipcode,lat,lng,type,hours_ev,hours_ed,start_date,end_date,notes
Bethany United Methodist Church D105 Ministry Center,10010 Anderson Mill Rd.,Austin,78750,30.44819,-97.79859,e day,,Nov. 4: 7 AM–7 PM,,,
Courtyard Austin Lakeline Cedar Room,12833 Ranch Road 620 N,Austin,78750,30.46635,-97.8013,e day,,Nov. 4: 7 AM–7 PM,,,
Gateway Church Main Lobby,7104 Mcneil Dr.,Austin,78729,30.43711,-97.76462,e day,,Nov. 4: 7 AM–7 PM,,,
Harmony School Of Endeavor Gymnasium,13415 Ranch Road 620 N,Austin,78717,30.47038,-97.78671,e day,,Nov. 4: 7 AM–7 PM,,,
Kelly Reeves Athletic Complex Conference Room,10211 W Parmer Ln.,Austin,78717,30.49261,-97.77519,e day,,Nov. 4: 7 AM–7 PM,,,
Pinballz Lake Creek Purple Room,13729 Research Blvd.,Austin,78750,30.45998,-97.79022,e day,,Nov. 4: 7 AM–7 PM,,,
Rattan Creek Park Community Center Great Room,7617 Elkhorn Mountain Trl.,Austin,78729,30.4483,-97.75719,e day,,Nov. 4: 7 AM–7 PM,,,
Spicewood Springs Library Reading Room,8637 Spicewood Springs Rd.,Austin,78759,30.4337,-97.77308,e day,,Nov. 4: 7 AM–7 PM,,,
St. Vincent De Paul Catholic Church Portable Bldg. 1 & 2,9500 Neenah Ave.,Austin,78717,30.48826,-97.76356,e day,,Nov. 4: 7 AM–7 PM,,,
Bartlett City Hall Town Hall,140 W Clark St.,Bartlett,76511,30.79614,-97.42966,e day,,Nov. 4: 7 AM–7 PM,,,
Austin Sports Center Large Saq,1420 Toro Grande Blvd.,Cedar Park,78613,30.54372,-97.77715,e day,,Nov. 4: 7 AM–7 PM,,,
Hyatt Place Of Cedar Park Pac Twin Lakes Meeting Se 1,1315 E New Hope Dr.,Cedar Park,78613,30.53711,-97.81438,e day,,Nov. 4: 7 AM–7 PM,,,
Islamic Center Of Brushy Creek Old White Building,1950 Brushy Creek Rd.,Cedar Park,78613,30.50811,-97.79218,e day,,Nov. 4: 7 AM–7 PM,,,
Lisd Child Nutrition Services Room 203,1900 Cougar Country Dr.,Cedar Park,78613,30.52848,-97.86133,e day,,Nov. 4: 7 AM–7 PM,,,
Reagan Elementary School Gymnasium,1700 E Park St.,Cedar Park,78613,30.51477,-97.79661,e day,,Nov. 4: 7 AM–7 PM,,,
The Springs Healthcare & Rehabilitation Main Lobby,1500 Cottonwood Creek Trl.,Cedar Park,78613,30.53518,-97.80816,e day,,Nov. 4: 7 AM–7 PM,,,
Treasure Of The Hills Senior Center Tv/Game Room,408 Ridgewood Dr.,Cedar Park,78613,30.50221,-97.82705,e day,,Nov. 4: 7 AM–7 PM,,,
"Unity Recreation Center Ste 101, 102, 103",820 Old Mill Rd.,Cedar Park,78613,30.47612,-97.8202,e day,,Nov. 4: 7 AM–7 PM,,,
St Peter'S Church Of Coupland Fellowship Hall,108 Wathen St.,Coupland,78615,30.45794,-97.39092,e day,,Nov. 4: 7 AM–7 PM,,,
Andice Community Center Main Classroom,6600 Fm 970,Florence,76527,30.82989,-97.80422,e day,,Nov. 4: 7 AM–7 PM,,,
Carver Center For Families Brightwell Room,1200 W 17Th St.,Georgetown,78626,30.62822,-97.68631,e day,,Nov. 4: 7 AM–7 PM,,,
Emmaus Church Of Georgetown Atrium,5060 E Hwy 29,Georgetown,78626,30.63881,-97.60687,e day,,Nov. 4: 7 AM–7 PM,,,
Heritage Baptist Church Room 103,1601 Fm 971,Georgetown,78626,30.66581,-97.64829,e day,,Nov. 4: 7 AM–7 PM,,,
Northstar Georgetown Great Room,2401 Westinghouse Rd.,Georgetown,78626,30.59038,-97.6541,e day,,Nov. 4: 7 AM–7 PM,,,
San Gabriel Masonic Lodge 89 Dining Area,992 N College St.,Georgetown,78633,30.64951,-97.66781,e day,,Nov. 4: 7 AM–7 PM,,,
Southwestern University Howry Center,1001 Southwestern Blvd.,Georgetown,78626,30.63692,-97.66285,e day,,Nov. 4: 7 AM–7 PM,,,
The Delaney At Georgetown Village Great Hall,359 Village Commons Blvd.,Georgetown,78633,30.69594,-97.71078,e day,,Nov. 4: 7 AM–7 PM,,,
Wilco Central Maintenance Facility Training Room,3151 Se Inner Loop,Georgetown,78626,30.62683,-97.64416,e day,,Nov. 4: 7 AM–7 PM,,,
Granger City Hall Lobby,214 E Davilla St.,Granger,76530,30.71732,-97.4408,e day,,Nov. 4: 7 AM–7 PM,,,
Hutto Isd Admin Building Boardroom,200 College St.,Hutto,78634,30.54513,-97.54307,e day,,Nov. 4: 7 AM–7 PM,,,
New Hope Christian Church Worship Center,9850 Fm 1660,Hutto,78634,30.51547,-97.5375,e day,,Nov. 4: 7 AM–7 PM,,,
Wilco Hutto Annex Suite 200,321 Ed Schmidt Blvd.,Hutto,78634,30.54425,-97.56257,e day,,Nov. 4: 7 AM–7 PM,,,
Cool Water Mud Clubhouse,401 Fighting Seabees Run,Jarrell,76537,30.80908,-97.60431,e day,,Nov. 4: 7 AM–7 PM,,,
Jarrell Memorial Park Community Center,1651 Cr 305,Jarrell,76537,30.83673,-97.62155,e day,,Nov. 4: 7 AM–7 PM,,,
First Baptist Church Gymnasium,10000 FM 2243,Leander,78641,30.58374,-97.84092,e day,,Nov. 4: 7 AM–7 PM,Nov 4,Nov 4,
ACC San Gabriel Multi-purpose Room,449 San Gabriel Campus Dr.,Leander,78641,30.58801,-97.85039,e day,,Nov. 4: 7 AM–7 PM,Nov 4,Nov 4,
Acc San Gabriel Multipurpose Room,449 San Gabriel Campus Dr.,Leander,78641,30.58801,-97.85039,e day,,Nov. 4: 7 AM–7 PM,,,
Danielson Middle School 1203 Lecture Hall,1061 Collaborative Way,Leander,78641,30.60283,-97.88081,e day,,Nov. 4: 7 AM–7 PM,,,
Larkspur Elementary School Gymnasium,424 Rusk Bluff Ave.,Leander,78641,30.62925,-97.85171,e day,,Nov. 4: 7 AM–7 PM,,,
Park At Crystal Falls Clubhouse,7860 183A Toll Rd.,Leander,78641,30.56808,-97.82556,e day,,Nov. 4: 7 AM–7 PM,,,
Stiles Middle School Gymnasium,3250 Barley Rd.,Leander,78641,30.56,-97.79125,e day,,Nov. 4: 7 AM–7 PM,,,
Tarvin Elementary School Gymnasium,1280 Logan Del Way,Leander,78641,30.60453,-97.82781,e day,,Nov. 4: 7 AM–7 PM,,,
Wilco Parks & Recreation Meeting Room,219 Perry Mayfield Blvd,Leander,78641,30.56133,-97.76725,e day,,Nov. 4: 7 AM–7 PM,,,
Liberty Hill High School Auditorium,16500 W Sh 29,Liberty Hill,78642,30.6825,-97.954,e day,,Nov. 4: 7 AM–7 PM,,,
Santa Rita Ranch Great Room,175 Elizabeth Park Blvd.,Liberty Hill,78642,30.66607,-97.83817,e day,,Nov. 4: 7 AM–7 PM,,,
Cedar Ridge High School Auditorium Auditorium,2801 Gattis School Rd.,Round Rock,78664,30.49339,-97.64041,e day,,Nov. 4: 7 AM–7 PM,,,
Faith Baptist Church Of Round Rock Meeting Room,3625 Gattis School Rd.,Round Rock,78664,30.4967,-97.61871,e day,,Nov. 4: 7 AM–7 PM,,,
"Fern Bluff Mud Community Center Canyon Room,",7320 Wyoming Springs Dr.,Round Rock,78681,30.51844,-97.71893,e day,,Nov. 4: 7 AM–7 PM,,,
Palm Valley Lutheran Church Back Porch Bldg.,2500 E Palm Valley Blvd.,Round Rock,78665,30.52256,-97.64587,e day,,Nov. 4: 7 AM–7 PM,,,
Radiant Church The Living Room Ste 109,1205 Round Rock Ave,Round Rock,78664,30.51106,-97.69429,e day,,Nov. 4: 7 AM–7 PM,,,
Round Rock Presbyterian Church Fellowship Hall,4010 Sam Bass Rd.,Round Rock,78681,30.53553,-97.74108,e day,,Nov. 4: 7 AM–7 PM,,,
Round Rock Sports Center Tournament Room,2400 Chisholm Trl.,Round Rock,78681,30.53898,-97.69749,e day,,Nov. 4: 7 AM–7 PM,,,
Sleep Inn & Suites Meeting Room,1980 S Ih 35,Round Rock,78681,30.49186,-97.67862,e day,,Nov. 4: 7 AM–7 PM,,,
South University Room 110,1220 W Louis Henna Blvd.,Round Rock,78681,30.47943,-97.68994,e day,,Nov. 4: 7 AM–7 PM,,,
Texas State University Round Rock Avery Bldg. Room 256,1555 University Blvd,Round Rock,78665,30.5683,-97.65539,e day,,Nov. 4: 7 AM–7 PM,,,
Taylor Isd Event Center,3101 N Main St.,Taylor,76574,30.59319,-97.4146,e day,,Nov. 4: 7 AM–7 PM,,,
St John Lutheran Church Education Center,409 S Main St.,Thrall,76578,30.5874,-97.29771,e day,,Nov. 4: 7 AM–7 PM,,,
Walburg Community Center Main Room,4000 Fm 972,Walburg,78626,30.73632,-97.58413,e day,,Nov. 4: 7 AM–7 PM,,,
Community Bible Church Of Weir Fellowship Hall,315 Fm 1105,Weir,78626,30.67691,-97.58761,e day,,Nov. 4: 7 AM–7 PM,,,
Anderson Mill Limited District Room A/B,11500 El Salido Pkwy.,Austin,78750,30.45691,sites,early,"Oct. 20–25: 8 AM–6 PM
Oct. 26: 12 PM–6 PM
Oct. 27–31: 7 AM–7 PM",,,,
Lakeline Oaks Community Room (Early Vote) & Boardroom (Election Day),1000 Old Mill Rd,Cedar Park,78613,30.47485,-97.82379,early,"Oct. 20–25: 8 AM–6 PM
Oct. 26: 12 PM–6 PM
Oct. 27–31: 7 AM–7 PM",,,,
Hartfield Performing Arts Center Lobby,5800 Mcneil Dr.,Austin,78729,30.44759,-97.73561,early and e day,"Oct. 20–25: 8 AM–6 PM
Oct. 26: 12 PM–6 PM
Oct. 27–31: 7 AM–7 PM",Nov. 4: 7 AM–7 PM,,,
Cedar Park Recreation Center Community Room (Early Vote) & San Gabriel Room (Election Day),1435 Main St,Cedar Park,78613,30.52695,-97.82585,early and e day,"Oct. 20–25: 8 AM–6 PM
Oct. 26: 12 PM–6 PM
Oct. 27–31: 7 AM–7 PM",Nov. 4: 7 AM–7 PM,Oct 21,Nov 5,
Acc Cypress Creek Room 1102,1555 Cypress Creek Rd.,Cedar Park,78613,30.47998,-97.83508,early and e day,"Oct. 20–25: 8 AM–6 PM
Oct. 26: 12 PM–6 PM
Oct. 27–31: 7 AM–7 PM",Nov. 4: 7 AM–7 PM,,,
Staybridge Suites Cedar Park Boardroom,1110 Arrow Point Dr.,Cedar Park,78613,30.53143,-97.80108,early and e day,"Oct. 20–25: 8 AM–6 PM
Oct. 26: 12 PM–6 PM
Oct. 27–31: 7 AM–7 PM",Nov. 4: 7 AM–7 PM,,,
Florence City Hall Council Chambers,851 Fm 970,Florence,76527,30.78198,-97.85518,early and e day,"Oct. 20–25: 8 AM–6 PM
Oct. 26: 12 PM–6 PM
Oct. 27–31: 7 AM–7 PM",Nov. 4: 7 AM–7 PM,,,
Fire Station 6 Community Room,6700 Williams Dr,Georgetown,78633,30.71307,-97.76344,early and e day,"Oct. 20–25: 8 AM–6 PM
Oct. 26: 12 PM–6 PM
Oct. 27–31: 7 AM–7 PM",Nov. 4: 7 AM–7 PM,,,
Georgetown Annex Room 108,100 Wilco Way,Georgetown,78626,30.6159,-97.6584,early and e day,"Oct. 20–25: 8 AM–6 PM
Oct. 26: 12 PM–6 PM
Oct. 27–31: 7 AM–7 PM",Nov. 4: 7 AM–7 PM,,,
Georgetown City Hall Community Room,808 Martin Luther King Jr St,Georgetown,78626,30.63631,-97.68106,early and e day,"Oct. 20–25: 8 AM–6 PM
Oct. 26: 12 PM–6 PM
Oct. 27–31: 7 AM–7 PM",Nov. 4: 7 AM–7 PM,,,
Georgetown Isd Technology Bldg. Conference Room,603 Lakeway Dr,Georgetown,78628,30.66835,-97.68882,early and e day,"Oct. 20–25: 8 AM–6 PM
Oct. 26: 12 PM–6 PM
Oct. 27–31: 7 AM–7 PM",Nov. 4: 7 AM–7 PM,,,
Hammerlun Center For Leadership And Learning Cafeteria,507 E University Ave.,Georgetown,78626,30.63382,-97.67256,early and e day,"Oct. 20–25: 8 AM–6 PM
Oct. 26: 12 PM–6 PM
Oct. 27–31: 7 AM–7 PM",Nov. 4: 7 AM–7 PM,,,
The Oaks Community Center - Sun City Main Room,301 Del Webb Blvd.,Georgetown,78633,30.71291,-97.71827,early and e day,"Oct. 20–25: 8 AM–6 PM
Oct. 26: 12 PM–6 PM
Oct. 27–31: 7 AM–7 PM",Nov. 4: 7 AM–7 PM,,,
